FUERZAS ARMADAS DE HONDURAS,,,,,,
EJÉRCITO,,,,,,
INVENTARIO DE ANTIVIRUS CORPORATIVO,,,,,,
No.,Grupo,Nombre del Equipo,Ultimo Usuario,Real-time Scan,Health Status,Agente Instalado
74,IT-EQUIPOS,EMEE61617,FFAA\devalladares,On,Critical,SI
75,IT-EQUIPOS,EMEE61619,EMEE61619\UAE,On,Questionable,SI
76,IT-EQUIPOS,EMEE61638,FFAA\dmrodriguez,On,Healthy,SI
77,JEME-EQUIPOS,EMEE11133,FFAA\jlcerrato,On,Questionable,SI
78,JEME-EQUIPOS,EMEJEME530,FFAA\amarriaga,On,Healthy,SI
79,JEME-EQUIPOS,EMEJEME611,FFAA\hnavarro,On,Healthy,SI
80,JEME-EQUIPOS,EMEJEME614,FFAA\sjjeme,On,Healthy,SI
81,PGE-EQUIPOS,EMEPGE0821,FFAA\fzepeda,On,Healthy,SI
82,PGE-EQUIPOS,EMEPGE0822,FFAA\ynvasquez,On,Healthy,SI
83,PGE-EQUIPOS,EMEPGE0840,FFAA\npozo,On,Healthy,SI
84,PGE-EQUIPOS,EMEPGE810,FFAA\nbetancourth,On,Healthy,SI
85,PGE-EQUIPOS,EMEPGE828,FFAA\ncabrera,On,Healthy,SI
86,PGE-EQUIPOS,EMEPGE831,FFAA\tglopez,On,Healthy,SI
87,PGE-EQUIPOS,EMEPGE837,FFAA\smanzanares,On,Healthy,SI
88,PGE-EQUIPOS,EMEPGE869,FFAA\eflores,On,Healthy,SI
89,PGE-EQUIPOS,EMEPGE885,FFAA\sjmaradiaga,On,Healthy,SI
90,PGE-EQUIPOS,EMEPGE892,FFAA\mvarela,On,Questionable,SI
91,PGE-EQUIPOS,EMGEPGE812,FFAA\fflores,On,Healthy,SI
92,PGE-EQUIPOS,EMGEPGE834,FFAA\eelvir,On,Healthy,SI
93,PGE-EQUIPOS,EMGEPGE837,FFAA\mjramos,On,Healthy,SI
94,PGE-EQUIPOS,EMGEPGE838,FFAA\amolina,On,Healthy,SI
95,RRPP-EQUIPOS,EMERRPP1011,FFAA\lylopez,On,Healthy,SI
96,RRPP-EQUIPOS,EMERRPP583,FFAA\cpcaceres,On,Healthy,SI
97,RRPP-EQUIPOS,EMERRPP590,FFAA\nsilva,On,Questionable,SI
